org,role,view,activity,context,proba,decision
RE BHL,z XJV,JOG,MD18,ZXUN,0.87,permitted
ZU IXW,h TAH,ULJ,YK27,LMEJ,0.75,denied
ZM GUW,m ZJB,MXD,IZ17,CITQ,0.21,permitted
CB MIK,i HBR,YMK,ZZ27,EKSP,0.93,permitted
RJ MSU,e KES,SCO,BC07,ZJCY,0.68,permitted
QY FRH,t RPV,JOL,RZ46,FRNQ,0.45,permitted
NJ ZVE,x QRY,QBS,TV74,SXPA,0.01,denied
AZ SKM,u YDN,XNA,XS12,BBDA,0.34,permitted
LW VIY,d YXM,ZZA,RZ15,XMDO,0.14,denied
HZ KEP,t BFG,IBA,GK83,NCOX,0.5,permitted
JN QOL,x FID,MKQ,TP83,DLCH,0.48,permitted
GD RYN,v YWO,BSF,SY98,FHXV,0.64,permitted
ZY OUF,s FKU,MOC,ZB43,NKKG,0.14,permitted
OH DNN,i DNR,PBV,KS68,BMBM,0.79,permitted
BB UGF,y WZV,XTI,PH92,FBIE,0.27,permitted
KD VRF,n BFE,VGN,KB02,SFTD,0.28,denied
KX HQZ,d FNQ,TRH,RT88,MWLP,0.11,permitted
FE VRV,v BDV,NDZ,GT21,TCIN,0.51,permitted
SZ KPO,h TAF,QYL,CI27,QNXU,0.11,denied
JF VJS,b NEE,UZU,BT40,ZLJV,0.45,permitted
KL ONG,z NPE,XOX,DE14,FNMI,0.82,permitted
UT AHY,o FRA,GXC,XQ21,MSIA,0.49,permitted
DI XMC,h SPS,SJE,NX15,AUUY,0.61,permitted
others,blacklisted,normal,a1,off,0.59,denied
CS QEP,q PLK,QIX,ZT91,QSYP,0.79,permitted
TO UDI,x QDA,OHQ,JB91,OAFI,0.98,permitted
AG JMY,x KGG,VUO,EW19,YKIK,0.13,permitted
GG VXU,k TAV,VMA,AQ53,VCLI,0.69,permitted
UD DGA,i NYY,KLI,ZZ84,KIRR,0.4,denied
ZG AEV,e DFH,QRO,FX96,NBRB,0.83,permitted
RQ ZMY,j BUZ,PWQ,DZ29,JVTN,0.95,permitted
MQ PGD,y IRM,FUG,TJ85,PTEL,0.59,permitted
TL YQN,e YEX,WZQ,YJ65,NQPZ,0.45,permitted
GC ZRS,m BWS,DJR,UP22,DFLP,0.88,permitted
PA OQE,p QEG,HTR,OL63,WQIO,0.39,permitted
PX AEN,z QZJ,GCI,SK15,SYHH,0.19,permitted
HB TVS,b ORT,RMJ,JB18,HCKI,0.53,permitted
QE GKA,o SAI,XES,HV49,WMQE,0.89,permitted
CL IOP,n HDC,QSQ,ST68,DLUC,0.1,permitted
DT NBS,s LHH,GHS,EP04,VEKI,0.05,permitted
caraccess,blacklisted,luxe,a2,peak,0.85,denied
MB FUZ,t BMT,TCN,ZB25,DQPR,0.91,permitted
XM XBM,h NUF,GJT,JV20,HZIJ,0.64,permitted
WX AEQ,n KMS,BLN,SF85,ZTYO,0.69,permitted
partner,blacklisted,luxe,a3,peak,0.47,denied
others,vip,normal,a2,off,0.19,denied
UB LJV,h HUR,OBZ,IR38,SBFB,0.14,permitted
ZT TNA,w MKU,UNN,AM08,JLWO,0.61,permitted
FD HDS,j CXN,EAV,JH97,DCAD,0.38,permitted
others,normal,luxe,a2,off,0.07,permitted
SJ EJY,x LQY,RKZ,QQ57,FHST,0.31,permitted
BH CBR,t YDD,RNP,TE56,LVXD,0.07,permitted
YE HIZ,t AAB,QTM,JZ10,NGMZ,0.99,permitted
TV FBR,t QWE,CLK,YV84,HVJQ,0.86,permitted
YD WAG,c VHJ,HZJ,FW09,PTPO,0.41,denied
police,blacklisted,normal,a1,peak,0.28,denied
MP MYW,t NSM,KXY,AP23,OFVN,0.84,permitted
CZ NOA,r YLT,WGV,WW33,SCZE,0.98,permitted
DT VKC,i GCK,WZR,UK36,QYAQ,0.82,permitted
NF ZGQ,u JOY,SEI,FO63,GEBM,0.75,denied
GV EKH,p LFK,NEZ,XA39,TZHS,0.25,permitted
IU VWD,a YCO,LVU,LJ83,KPJB,0.34,permitted
RQ EEV,d WXX,CFL,DU24,CIAA,0.96,permitted
partner,vip,normal,a1,peak,0.89,permitted
VZ POO,z BTL,WPV,NJ41,LCEH,0.27,permitted
IP WVW,j FQA,IRE,TV47,DLBA,0.79,permitted
FV JEE,v OZZ,RAT,TI47,IAUV,0.58,permitted
QL ZHV,b QRF,XCL,AN11,NFVH,0.95,permitted
TJ PLX,y XTH,BZT,JZ56,VJNP,0.46,permitted
YL GNA,o HZT,AKA,DG63,OOXV,0.27,denied
JH ILL,n CJD,SZL,KI82,VSLJ,0.82,permitted
DK TNT,p IRH,SAA,NX38,LKSR,0.7,permitted
YZ URX,y RND,ENF,QI95,PSIM,0.41,permitted
BD OTD,l MGI,EWX,RU18,IUTV,0.8,permitted
others,blacklisted,luxe,a3,off,0.77,denied
KN YAT,r LRZ,ZGU,FS24,RXGY,0.69,denied
partner,blacklisted,luxe,a2,off,0.55,denied
YR TQZ,u RIU,OUZ,XV82,YPDO,0.22,permitted
KA SNV,n LQA,NMC,SQ51,VDGB,0.57,permitted
WI JIS,j DYL,PIH,LO52,JADD,0.32,denied
QL OTV,l DGL,OPP,JZ48,ADBY,0.61,permitted
others,vip,normal,a3,off,0.95,permitted
partner,blacklisted,normal,a3,peak,0.6,denied
caraccess,normal,luxe,a2,peak,0.75,permitted
JC TLQ,s EHE,XQW,XF43,HWIZ,0.47,permitted
DP VYT,j SHK,KQE,NX56,BSFD,0.31,denied
NU NCC,c GLE,POJ,AL92,MQQS,0.4,denied
PC AZX,g YKO,HBB,GN16,CFFP,0.34,permitted
PR RRW,j KRK,YKU,EJ66,OJAV,0.75,permitted
LY VUP,m FFL,CBE,ZE14,GEUC,0.2,permitted
VG EIQ,v NYT,VQG,CU92,YCYY,0.62,permitted
JP PHU,u ABC,IIY,GK85,BVMR,0.66,denied
BP QYJ,q TGV,FWY,EU73,EWSA,0.78,permitted
YJ GKE,v CSV,OVZ,OY73,CPHE,0.9,permitted
caraccess,blacklisted,normal,a3,peak,0.54,denied
XF JIA,u EXX,MEH,YC70,WNJO,0.61,permitted
others,vip,luxe,a2,off,0.03,permitted
NE JCU,e GNX,KSF,GQ37,OBCV,0.16,permitted
FK EQB,s QZB,WIN,JS46,TCHT,0.11,permitted
KU FBP,k SWA,KUQ,FI06,ZPEN,0.55,permitted
CI NJD,b AKB,GTI,KS80,IOTW,0.06,permitted
UK ELG,p SPU,IPS,TA55,QRUF,0.25,permitted
ZG ZOS,n MFE,BAK,LW47,YUCI,0.55,permitted
WC PPV,u JZS,JWJ,VR94,OMDE,0.07,permitted
CC SBD,f GNE,FJT,WQ92,EVKJ,0.65,permitted
GW FCO,e DXL,SJS,DK11,IAPP,0.9,permitted
NM DVW,a BNZ,LJW,VM10,TPTT,0.77,permitted
UN BMU,u NQU,CKE,SC42,FJCX,0.83,permitted
YA DQH,n HOH,QAP,UQ14,XVHU,0.87,permitted
UG LTF,a YAB,VIY,CX06,AYKY,0.44,permitted
caraccess,vip,luxe,a1,peak,0.7,denied
BS PCL,i COH,PKC,SH64,RGGD,0.14,permitted
IL LNL,r IBX,OKM,AL97,MIJK,0.68,permitted
caraccess,blacklisted,luxe,a3,off,0.21,denied
KV VKJ,h FRQ,RPW,DF77,CWHP,0.06,permitted
caraccess,vip,normal,a3,peak,0.09,permitted
OE AKV,h HEM,NBF,ZD29,LNLP,0.33,permitted
XQ TIY,p SMW,ZPQ,ZG15,PVNE,0.42,denied
RB SUY,z MXV,HGN,BL45,GRUM,0.36,permitted
XL DCU,y VWF,JMI,QQ33,VZWF,0.35,denied
caraccess,normal,luxe,a2,off,0.46,permitted
YK LVQ,k TLS,NXL,DY18,PIKG,0.48,permitted
PZ REQ,t RVN,QUT,SN15,DVYT,0.56,permitted
LV UCI,c YIQ,GIB,YP48,YPTC,0.34,permitted
YB DNE,d BMB,BMD,OV83,QNCO,0.02,permitted
QQ UKZ,i SHJ,FGA,AM31,DFBN,0.7,permitted
GO NRT,g EIZ,IGJ,MO09,XNDT,0.29,permitted
GK GGK,d UGL,QAT,QQ06,SKYH,0.85,permitted
others,vip,luxe,a3,peak,0.93,permitted
GJ NHS,u CAG,ILM,FC61,JRNJ,0.73,permitted
IJ UIX,a DWZ,PCB,RI88,NZCS,0.88,denied
HS YBR,u LFP,UPG,HZ18,PBIE,0.28,permitted
YV LKM,q KQW,VQH,LK24,BVIA,1.0,permitted
partner,blacklisted,luxe,a1,peak,0.86,denied
JS LFO,o FUN,KSY,PK70,CMWW,0.37,permitted
ZO VML,u VUL,QIZ,NY48,QUNJ,1.0,permitted
PI FYR,g VOG,SUJ,XR34,KJOY,0.35,permitted
RJ ZOB,w XGE,RZR,WJ08,CHBY,0.51,permitted
UK YDG,s VHF,UHS,XQ00,ROYR,0.09,permitted
RU OGM,c CAK,RSB,DI67,BYZA,0.78,permitted
police,blacklisted,luxe,a3,peak,0.79,denied
HS NTB,h DUB,GAC,WR12,LQGF,0.13,permitted
PO VMA,j ICK,PSQ,MW18,PBRP,0.38,denied
ZO YYY,g HAU,KRX,CF77,YHYI,0.87,permitted
police,normal,luxe,a2,peak,0.89,permitted
IL IFL,n FRL,VYV,CX06,CZOO,0.4,permitted
JX XAZ,c SGZ,NPL,EO69,VIHA,0.51,permitted
QN OMD,i TIA,ASO,ZE09,ZVHR,0.61,permitted
AO MJQ,r PHR,MIG,RO37,WZUZ,0.12,permitted
LX YGI,x JIF,AAH,TY57,FHYR,0.78,permitted
police,vip,normal,a1,off,0.46,permitted
XR ITE,s YIY,EAP,KD85,LGCU,0.14,permitted
SB BXI,j KGQ,CXL,XM70,WQCZ,0.76,permitted
RV USE,f FAB,BMM,JM58,TNHS,0.28,permitted
SD GUU,v UDB,ACF,IS39,KANS,0.67,permitted
caraccess,vip,luxe,a3,off,0.68,permitted
CL FEV,j WOP,EBK,SU21,PFHL,0.99,permitted
JI ELZ,t GQY,NAT,XP87,BHTB,0.33,permitted
HA FLR,x EKD,HLV,VY47,LMCJ,0.48,permitted
RE RPC,p QLH,ACX,ES72,FJHT,0.76,permitted
FV XXO,n IJP,APC,TS01,DUPR,0.34,permitted
IA GFZ,x MUA,GLH,LB08,QDDE,0.93,denied
CR JXW,w JKJ,IKK,CP05,GPCJ,0.22,denied
US BJW,d IUD,EPX,DE73,BOVV,0.96,permitted
VW VVJ,f VHD,KOA,VL02,EZDV,0.35,permitted
CP NQV,p QNL,FDV,VB03,YZMF,0.34,permitted
TC STJ,v WBO,IHG,UE04,TNVE,0.7,permitted
KM ENP,i IMQ,BTC,JS84,BPWL,0.71,denied
DW NST,k UPP,PHI,EM85,IIUZ,0.18,permitted
IR PVN,x AUI,FIN,CM23,GMIJ,0.11,denied
BO GXM,o EQP,SYX,EY11,CKHP,0.47,permitted
YJ IZP,a VSL,MEK,CQ01,BCVT,0.31,permitted
QB BPL,o HGX,UJA,CA74,NZZK,0.64,denied
PB XMG,b HVS,ZFF,KM34,WTHR,0.77,permitted
SC MMT,b JCY,TGU,NF62,NSUQ,0.45,permitted
DO CJV,j AOZ,ASC,LF97,TFBJ,0.3,permitted
TN YXX,f ZHR,POG,QI41,OIYR,0.04,permitted
AR FEG,h QHW,MYQ,AD68,FUIX,0.46,permitted
YI JUH,t ILD,EJI,PJ68,UQYF,0.0,permitted
RB VTE,s SPC,LNJ,PU62,SYHX,0.62,permitted
VX MPM,l HUI,GGE,ZB40,UDNI,0.65,permitted
SG SCN,l JXH,NAZ,KB75,EKGD,0.91,permitted
MI CUV,o RPS,SPX,UI19,YIWS,0.85,permitted
XT XYD,q MCI,VUT,HY75,HPWD,0.95,permitted
EP YYZ,f BCW,GCY,MK83,ULWC,0.59,permitted
TX IXF,z TWN,RPD,LK62,ZUCP,0.52,permitted
QU GPQ,j GKO,ENP,BV90,GLTT,0.67,permitted
TN WWX,j POT,YPC,FP19,UXOR,0.43,permitted
FL ELJ,g OUT,KUZ,PD59,FZYP,0.23,permitted
VD MQB,y HSE,VAX,XZ51,BZJD,0.34,permitted
HY WZW,v FNL,YKU,DL27,MSAT,0.0,permitted
EJ BRS,g DTY,IOA,KN07,RROT,0.79,denied
JT JYO,g URP,FQZ,JC66,CGPC,0.17,permitted
GO KBM,p RMG,ZLM,RL16,SGXL,0.85,permitted
DS BJF,s BGJ,EKD,MC72,XRCP,0.68,permitted
TZ ZPK,b MBK,WQV,QT79,EMPP,0.04,permitted
FV MQI,w FMO,JIC,FS89,WZCG,0.46,permitted
AA XRG,l EWJ,LHC,ZD88,LIQO,0.3,denied
FU KIJ,a JVH,GWK,YO30,LUJR,0.04,permitted
LU RJT,l PTE,QDY,EX91,BJWF,0.02,permitted
VE PJE,t JNM,JGJ,KE24,HCST,0.6,permitted
NF BFX,l WOV,HOV,ZQ72,OSFN,0.44,permitted
police,blacklisted,normal,a3,off,1.0,denied
partner,blacklisted,luxe,a1,off,0.5,denied
KP UHB,j GRZ,JJZ,WU66,SZHI,0.01,permitted
MA KEC,f SKW,TTZ,CZ38,MYIW,0.64,permitted
TM ETK,e XFR,OQA,ZZ66,DTQE,0.32,permitted
ZF RVK,c ZAH,KTA,GW22,VXBI,0.91,permitted
SX YHW,w PFH,WSN,EY61,SCJN,0.73,permitted
others,blacklisted,luxe,a3,peak,0.35,denied
NT SQF,p NXI,GTN,QO27,JSMH,0.02,permitted
SJ HSC,m ALP,LFP,RC86,GUCC,1.0,permitted
TI DJT,c FDD,XDO,NL86,VEJW,0.82,denied
FU MQN,h QCH,VAE,NR95,VITA,0.18,permitted
police,vip,luxe,a3,off,0.5,permitted
PW LRH,h LNK,HEY,EY24,UHRN,0.4,permitted
TP UDE,b PSM,ROR,LA38,UTZM,0.42,permitted
ML RAG,x YJV,MDI,PK34,QGYK,0.25,permitted
LM WHJ,r ITJ,MTO,ST25,HWZZ,0.55,permitted
partner,blacklisted,luxe,a3,off,0.33,denied
RF OFX,p HEG,NOY,AO29,XMPD,0.77,permitted
FZ ZOV,s MTN,IVS,MJ63,UYRJ,0.61,permitted
others,normal,normal,a3,off,0.32,permitted
TW QNW,w HXE,DLX,VC25,ZCBW,0.78,permitted
MW EVG,j OWZ,SXS,UK73,ABEY,0.94,permitted
HE GKM,j BVE,KKW,FO11,QEKZ,0.43,denied
EV NYF,d AUN,TML,ID47,JZPC,0.03,denied
OZ IGM,g PYN,AWV,KO02,GZTO,0.6,permitted
FA MIV,n MKY,ERJ,SK94,SRCL,0.51,permitted
others,normal,luxe,a1,off,0.34,permitted
MJ MMJ,g IAJ,TSY,BG14,WIAY,0.35,permitted
police,vip,luxe,a2,peak,0.44,permitted
SU GKB,x MCW,YMJ,CN05,HLDK,0.1,permitted
FW AKD,j QKH,VOG,MV77,DSBD,0.17,permitted
TO CAL,s VCJ,NQB,PR86,LVJM,0.63,permitted
partner,blacklisted,normal,a3,off,0.33,denied
IS CAM,o ERQ,CFZ,AX61,CHJG,0.26,permitted
WP JVQ,l XSF,GNS,ZI92,CLIE,0.48,permitted
IP HVU,w JOR,NLH,SX23,PZJH,0.78,permitted
VB UMM,g ORS,YWJ,TN35,LKMJ,0.42,permitted
partner,vip,normal,a3,off,0.98,permitted
VJ LQA,x ACI,QIX,CC64,MRLO,0.41,permitted
NA GSM,s ILA,HGD,MT93,VIIP,0.17,permitted
IN WZF,i BPX,AQE,LU37,LKNB,0.55,permitted
QF FZD,l NTV,ASD,OW32,FYOS,0.25,permitted
EL UJP,o TIQ,GAL,HS88,PKQP,0.55,permitted
ST CJQ,x LAM,EYW,PY31,LXRJ,0.09,permitted
HD ONZ,j TVA,ZJI,SL59,DYDZ,0.83,permitted
BS UEB,v OWU,RVC,UJ48,FCHK,0.75,denied
caraccess,blacklisted,normal,a1,off,0.87,denied
GM XHU,i ZVY,LQE,CT73,OAQB,0.79,permitted
PV LKS,a GPM,PUC,MJ17,PBFL,0.16,permitted
RU AMZ,e QZW,SBP,JB33,CQEY,0.81,denied
NM CHJ,r VNK,YJL,EP39,KXAU,0.95,permitted
WB LTC,v DFV,OYA,IB45,DGSC,0.46,permitted
DF QLJ,z SCF,ITP,OD72,CBOU,0.27,permitted
BX IWG,h EJK,RDX,RG92,CEDI,0.28,permitted
NV MXU,e LFA,NHB,WS92,UOER,0.09,permitted
NR LQP,r IPG,MVM,SX27,ZKIY,0.3,permitted
BN ULO,e WTQ,LWG,WJ36,BJQM,0.7,permitted
police,vip,luxe,a1,off,0.75,permitted
AR ROR,i YFS,ZEH,OU46,BTYA,0.68,permitted
police,blacklisted,normal,a1,off,0.73,denied
NR LSN,h SON,WWS,RP85,YERR,0.65,permitted
IQ VHO,p MCR,LQC,MF61,UIQN,0.16,permitted
MQ NAA,r VPT,EHX,SU84,BCFB,0.15,permitted
AE HCN,e LQQ,VCT,KW30,VPMK,0.73,permitted
TP WGJ,r UDH,NNV,VT01,SVUN,0.43,permitted
AV AYR,p XYO,QXX,MS25,FNYR,0.53,permitted
FK EOX,q MYW,JWY,QS65,EPRF,0.49,denied
JW LWR,v YGA,JYC,FN37,TMMG,0.74,denied
CY IIV,y IZS,KBM,WA27,VQEV,0.42,permitted
LT EOL,c CLE,SHE,PN81,EZWU,0.74,permitted
police,blacklisted,normal,a2,peak,0.58,denied
CZ QFY,s OXE,ABP,RQ68,MVAZ,0.38,permitted
SI NLS,s RTI,NQY,RP81,PZGQ,0.35,permitted
DE EYF,t RLS,QRS,SW20,TYRH,0.3,denied
JS YUW,s SOA,MEA,YI29,LNLF,0.88,permitted
caraccess,blacklisted,luxe,a1,off,0.21,denied
SV RHR,p YOZ,AII,JN44,NKOV,0.07,permitted
MP QJQ,z QGM,UCQ,SJ34,TUGZ,0.83,denied
others,vip,luxe,a1,peak,0.9,permitted
TH EIE,q CAA,ECJ,VR12,QTOJ,0.82,permitted
RK VAL,p FFD,NVM,PU60,XXUU,0.67,permitted
OR HVT,s BKF,BZU,CU21,LKGT,0.33,denied
LO BFM,g IEW,CUX,YZ16,FYNA,0.66,denied
RK GHC,n PWB,FPB,AC59,WXEJ,0.74,denied
CK QXO,r XMX,CWT,XD22,DMPO,0.64,permitted
RD NQO,d ASV,BAO,WC07,NEVD,0.34,permitted
TZ DHM,g VZH,XOE,LE10,OISU,0.22,permitted
WJ ROM,r HKQ,RBU,HY33,CMFB,0.65,permitted
UB RVM,a HVH,EOQ,NM34,OWNK,0.41,permitted
CM DRE,t WHI,FSI,ZZ33,PIEI,0.02,permitted
OT GUF,b ZCR,UUT,NX66,UCUA,0.49,permitted
BA HRE,n GIZ,JOG,DW96,PCKT,0.0,permitted
JW QWS,e NTF,PUG,ZO22,HFYA,0.98,permitted
partner,normal,luxe,a1,off,0.1,permitted
SR DQC,b HTS,PEQ,JL76,TFNO,0.17,permitted
CV XEP,m XVY,ABW,BU42,OYEP,0.11,permitted
police,vip,luxe,a2,off,0.95,permitted
HU GEU,z USV,FBH,YU64,JPJV,0.13,permitted
SU JPY,s KTZ,RFY,DT93,FTAI,0.53,permitted
HT HDS,e MHE,SRQ,WI35,NFFG,0.51,permitted
SV UDI,c FIY,EHQ,CE19,KSQT,0.85,permitted
QK BJP,o UHO,AHB,ES93,KGFV,0.05,permitted
partner,blacklisted,normal,a2,off,0.23,denied
partner,vip,luxe,a2,off,0.16,permitted
caraccess,normal,luxe,a1,off,0.82,permitted
GJ BTS,v DBM,ZVY,OG12,VXXJ,0.36,permitted
ZD ZHO,h HDO,XJA,BZ25,FYLZ,0.04,permitted
TV GXH,v FSH,IIU,LF68,JDJB,0.99,permitted
RD QEX,i HZP,VXJ,RY27,EWMZ,0.67,permitted
police,normal,normal,a2,off,0.44,permitted
TK MEF,e RKN,GVA,AV19,LTYL,0.65,permitted
MF ZKO,p EOO,AEQ,CD24,XIXY,0.67,permitted
police,normal,luxe,a3,peak,0.4,permitted
VP TCF,f CDP,MVF,TZ01,BWPP,0.05,permitted
DX QLD,y WWR,HVP,NE59,MURH,0.16,permitted
JB ILO,l TAH,ZAI,AS80,DHVX,0.42,permitted
HP GIK,y BMQ,YKQ,RD03,CTTY,0.83,denied
PN INR,t HTM,WRN,WU60,ICJX,0.18,permitted
LC MBL,q HWM,DAG,BM70,HGDN,0.1,permitted
VY WQN,i QLS,OPX,RG13,SMIF,0.24,denied
others,normal,luxe,a3,off,0.78,permitted
TN WEG,s EFF,OMJ,YA75,CFRZ,0.81,permitted
AV WIF,c KVO,CGE,QS95,WKZB,0.14,permitted
EN LVH,e DEM,VZF,UJ02,VZYY,0.31,permitted
DD KUH,b OND,ZJL,TN42,SQRT,0.07,permitted
MR UMP,a ZTN,NPP,UY42,OULK,0.73,permitted
YH UKD,r JMR,BCE,QV15,PBVS,0.66,permitted
police,blacklisted,luxe,a1,off,0.82,denied
YH QCR,j DTZ,OSZ,FW49,SCSE,0.29,permitted
WM SZA,j KKB,QTW,ZH44,MJMW,0.76,permitted
OE MWC,n XBB,SVC,OC42,WYIU,0.67,permitted
partner,blacklisted,normal,a2,peak,0.45,denied
police,vip,normal,a3,peak,0.64,permitted
PS NBG,o SAF,CUB,CY08,WYID,0.27,permitted
WE IMP,i DCD,QPY,DY97,QGAF,0.38,permitted
IP MOP,e CYN,AVK,PH76,FSYL,0.92,permitted
AD UKG,e HLN,BGZ,HY94,SJWY,0.3,denied
PJ YPY,h PSO,BCS,WD78,RZPB,0.78,permitted
PI RJS,p QGQ,NOL,XO56,ZFZG,0.1,permitted
CR NYK,c NSX,HWE,AE52,PHMB,0.5,permitted
HT OAH,m UUJ,HVR,MX45,VEDS,0.05,denied
police,blacklisted,luxe,a1,peak,0.77,denied
QV XHQ,x RRJ,UEV,DM27,FTVC,0.71,permitted
CA TWA,y FWS,OBG,QF62,FOXM,0.25,permitted
ZS MWK,w RKX,DVA,OX39,TBSP,0.22,permitted
SA WIE,v HZQ,RGZ,VO72,FGWI,0.01,permitted
DD RLT,w OZU,YCY,ZC23,JAOH,0.2,denied
RY PNX,w AHB,LYZ,WA34,QYWA,0.64,permitted
OP PYM,e SWI,QPP,BC69,JOQN,0.44,permitted
caraccess,normal,luxe,a3,off,0.86,permitted
partner,blacklisted,luxe,a2,peak,0.24,denied
OZ YLF,r MLZ,KHM,UO76,JOPC,0.19,permitted
HU ISU,h WQS,FBX,LQ87,PIFL,0.84,permitted
NS QBX,u SQZ,KJJ,EN34,GDZV,0.45,permitted
police,normal,normal,a3,peak,0.47,permitted
TI GJG,r HZA,OAX,DT21,NWCG,0.96,permitted
LX OME,p YBD,OBT,QW47,INLC,0.59,permitted
KM CIT,o YSR,ABU,MD98,DBIW,0.66,permitted
LY TGZ,e XGC,CBT,RP42,ZBJM,0.28,denied
OQ TLB,o YTM,UCC,SR00,SZNM,0.18,permitted
RV UWY,a MAR,POD,YA66,ZDDW,0.57,permitted
IV DSN,x GYA,HFQ,OZ96,HFGX,0.33,permitted
II GIS,d VMP,LLZ,YH61,AVSV,0.42,denied
WN UNV,a POO,LSF,VT71,GUUU,0.88,permitted
EF RNI,s KTP,VOS,FJ87,BLCV,0.16,permitted
AP IAI,o YVI,RPT,UI56,EEVI,0.18,permitted
XH YWP,e HNM,OSK,ZU33,RFRT,0.57,permitted
OZ BTJ,j YHT,DTY,WL22,IMFX,0.62,permitted
CP GYG,w LWS,JFU,VH50,NKOW,0.39,permitted
police,vip,normal,a2,off,0.65,permitted
QJ HSK,d NXP,HZE,TY44,GJUR,0.67,permitted
FM MCN,v HSZ,ORT,TI21,ZJWV,0.84,permitted
UJ TPZ,s VNN,ALI,XC17,HMKQ,0.24,permitted
IN MDG,u VJG,JLQ,WZ73,UFMA,0.13,permitted
VF HWZ,r YZJ,SGJ,MW89,HQXN,0.36,denied
EB WGA,t TYK,CUN,ME99,VTQQ,0.99,permitted
LS UTZ,j TGS,STV,GD97,JCOM,0.75,permitted
XO YLC,x WXK,RSF,DO14,MFDS,0.84,permitted
others,vip,luxe,a1,off,0.83,permitted
PV CYN,v JXM,CKC,QJ95,SZRR,0.84,permitted
QJ OMX,q PQP,OWT,FD52,FSEL,0.1,denied
VT JAU,v IKL,LZW,JF56,EYCZ,0.89,permitted
DH QQU,u OVV,EWD,ME64,MHRY,0.93,permitted
HE RIY,h FNV,LMA,RK61,KDVY,0.95,permitted
caraccess,blacklisted,normal,a2,off,0.39,denied
DL YMF,v KMS,TUE,QE37,ZPOW,0.74,denied
CU SKW,a UTM,AHF,NE95,WVOD,0.93,permitted
partner,vip,luxe,a1,off,0.81,permitted
ST AKT,p OVT,SJW,UY85,NIKG,0.73,permitted
ZP RKZ,u BAB,SMR,UN06,WYZD,0.06,permitted
YQ INX,q NMN,CFS,EA49,OLPE,0.59,permitted
YN TPM,k PML,PFL,VY10,ZQTD,0.76,permitted
YP UVP,o YSM,YWE,PD67,DNLD,0.41,permitted
AR TWR,p MXI,MWO,PC09,WFWP,0.92,permitted
YF FSI,d XCL,NOK,DN10,MIMW,0.04,permitted
QO NRF,y SPZ,REZ,OC75,USUS,0.45,permitted
police,normal,normal,a2,peak,0.05,permitted
XB UYU,e FKV,TDC,TM05,GCHE,0.8,permitted
partner,blacklisted,normal,a1,peak,0.24,denied
police,normal,normal,a3,off,0.63,denied
YC YYD,g LJH,ISY,FF78,ZKVQ,0.96,denied
RQ NSA,f JAV,RPK,SI95,KVOH,0.09,permitted
QJ DOY,m MKI,AFB,RO77,ZFHX,0.74,permitted
WF IWV,l IQF,EVT,JW35,WVRS,0.41,permitted
KO BFU,s MJP,DCR,QO35,RUUI,0.8,permitted
OZ JXX,q OGP,KMC,MB17,VHBK,0.0,permitted
SF JOY,i PQH,SZD,SE42,AKXG,0.02,denied
JC ZPG,e NBL,CTR,NJ11,KAED,0.61,permitted
BE NJE,x YKM,MGE,CZ60,RRGC,0.38,permitted
XN DWH,o OKY,QNH,XI51,QGVX,0.03,permitted
QT PCR,k OIO,HYN,YX20,LFXD,0.08,permitted
PI OFK,y HSU,LWP,OP25,HBSG,0.89,permitted
LN CGA,m DJT,YTO,IS78,KDCP,0.78,permitted
NQ NQX,w HBX,JWI,HL03,IVPR,0.36,denied
KT HNF,n IUU,JKK,WK58,DLHO,0.67,permitted
HF SYK,s UHW,RIH,DR84,QZQI,0.45,permitted
AT BVC,o YJJ,TLR,BQ45,OVTD,0.47,permitted
EC TTS,x XTQ,RCK,PF91,EZGJ,0.41,permitted
GY IQG,o YIA,WID,QT90,ULBN,0.37,permitted
IO XIS,u NMC,VJV,LC25,SDUK,0.29,permitted
others,normal,normal,a2,peak,0.08,denied
WI NGC,y ULK,QBQ,GB06,XCJF,0.43,permitted
MQ IUL,g RXC,VFD,FD27,MHDP,0.67,permitted
partner,normal,luxe,a2,peak,0.89,permitted
WC ZEC,q VNY,XIE,CQ91,DXPW,0.53,permitted
DK NKY,k DGE,JWN,NH34,ALIK,0.78,permitted
QG BAD,h WJN,LPT,MX69,QQIF,0.62,permitted
others,normal,normal,a3,peak,0.19,permitted
GV UNG,z SCL,PDQ,QR07,OCKH,0.91,permitted
GK REO,o MHE,QQM,TM21,UBZF,0.95,permitted
NH JIB,u LSC,QYM,IC35,XREY,0.85,permitted
NL KUC,v BXW,QHT,VD80,ALWW,0.13,permitted
SD JFN,x EYU,ERB,BJ50,LYTJ,0.99,permitted
RW HLY,b RGT,PFC,BK44,JJOU,0.78,permitted
TK ATZ,k AFU,ZJW,TP96,FOYS,0.21,permitted
RR NDE,h NDE,SKM,BQ52,WIWT,0.8,permitted
JC KPL,d BTQ,OSZ,HP05,CPZZ,0.15,permitted
PA HGV,g ECM,SRJ,GA00,LNIN,0.37,permitted
QO MTE,v GBR,NYL,IL33,GNIV,0.83,permitted
XU GUN,x GOH,UON,KJ02,ZGQS,0.53,denied
WB ZEC,p ODX,QAQ,DQ10,SVRH,0.32,denied
AK LHC,o MBF,KNZ,ZX21,TCZS,0.53,permitted
